Rank,Peak,Elev,Prom,State,Range,Isol,Ascents
1,Mount Washington,6288,6148,NH,White Mountains,819.6,5538
,Ball Crag,6106,31,NH,White Mountains,0.2,195
2,Mount Adams,5799,861,NH,White Mountains,3,2536
,Agiocochook Crag,5718,9,NH,White Mountains,0.2,41
3,Mount Jefferson,5712,753,NH,White Mountains,1.7,2430
,Nelson Crag,5635,35,NH,White Mountains,0.3,117
,Sam Adams,5585,93,NH,White Mountains,0.3,183
,Mount Clay,5533,139,NH,White Mountains,0.6,782
,Bigelow Lawn Hill,5512,59,NH,White Mountains,0.5,103
,Boott Spur,5492,98,NH,White Mountains,0.5,473
,John Quincy Adams,5410,56,NH,White Mountains,0.2,230
,Monticello Lawn Peak,5407,13,NH,White Mountains,0.1,132
4,Mount Monroe,5372,254,NH,White Mountains,0.7,2432
5,Mount Madison,5366,466,NH,White Mountains,0.6,2447
,Abigail Adams,5355,40,NH,White Mountains,0.1,175
6,Katahdin,5268,4288,ME,Longfellow Mountains,158.3,2204
,Katahdin - South Peak,5260,40,ME,Longfellow Mountains,0.3,521
,Adams 5,5256,20,NH,White Mountains,0.1,277
7,Mount Lafayette,5240,3320,NH,White Mountains,17.2,3617
,Mount Monroe - West Peak,5197,39,NH,White Mountains,0.1,474
8,Mount Lincoln,5089,169,NH,White Mountains,0.7,3205
,Mount Truman,5000,80,NH,White Mountains,0.2,1045
,Mount Franklin,5000,20,NH,White Mountains,0.3,833
,Pamola Peak,4919,99,ME,Longfellow Mountains,0,590
9,South Twin,4902,1502,NH,White Mountains,4.7,2118
,Chimney Peak,4900,60,ME,Longfellow Mountains,0,421
10,Carter Dome,4832,2821,NH,White Mountains,5,1731
,Slide Peak,4806,6,NH,White Mountains,0.2,320
11,Mount Moosilauke,4802,2932,NH,White Mountains,12.5,2773
12,North Twin,4761,281,NH,White Mountains,0.8,1672
13,Mount Eisenhower,4760,335,NH,White Mountains,0.7,2551
14,Hamlin Peak,4756,496,ME,Longfellow Mountains,1.2,687
,South Howe Peak,4740,80,ME,Longfellow Mountains,0.5,43
,North Howe Peak,4700,12,ME,Longfellow Mountains,0.3,37
15,Mount Bond,4698,298,NH,White Mountains,2.3,1705
,Slide Peak South,4692,12,NH,White Mountains,0.2,37
16,Mount Carrigain,4680,2223,NH,White Mountains,5.9,1486
,Mount Hight,4675,115,NH,White Mountains,0.6,846
17,Middle Carter Mountain,4600,700,NH,White Mountains,1.9,1536
,Mount Lethe,4584,44,NH,White Mountains,0.3,330
18,Mount Guyot,4560,160,NH,White Mountains,0.7,1354
,Mount Blue,4529,129,NH,White Mountains,0.5,207
,Mount Moosilauke - South Summit,4523,43,NH,White Mountains,0.5,751
19,West Bond,4520,160,NH,White Mountains,0.4,1480
,North Carter Mountain,4520,40,NH,White Mountains,0.4,567
,Southeast Castle,4500,25,NH,White Mountains,0.1,82
20,Mount Garfield,4480,800,NH,White Mountains,2,2136
21,Mount Liberty,4459,379,NH,White Mountains,1.5,2484
22,Wildcat Mountain,4422,1034,NH,White Mountains,0.9,1571
23,South Carter Mountain,4420,220,NH,White Mountains,0.7,1536
,Northwest Plateau,4410,10,ME,Longfellow Mountains,0.3,20
24,Mount Hancock,4400,1200,NH,White Mountains,2.2,1700
25,Mount Mansfield,4393,3633,VT,Green Mountains,51.9,2305
26,South Kinsman Mountain,4358,2398,NH,White Mountains,4.4,1863
,Southwest Twin,4357,77,NH,White Mountains,0.3,47
,Northwest Castle,4330,30,NH,White Mountains,0,80
27,Mount Flume,4328,408,NH,White Mountains,0.8,2163
28,Mount Osceola,4320,2000,NH,White Mountains,6,2272
28,Mount Field,4320,1681,NH,White Mountains,4.9,1992
,Wildcat B,4320,40,NH,White Mountains,0.2,874
,South Hancock,4319,159,NH,White Mountains,0.7,1631
,Fourth Howk,4315,65,NH,White Mountains,0.2,71
30,Mount Pierce,4310,230,NH,White Mountains,0.9,2922
,Wildcat C,4298,138,NH,White Mountains,0.4,946
31,North Kinsman Mountain,4293,253,NH,White Mountains,0.7,2048
,Montalban Ridge - North Peak,4293,93,NH,White Mountains,0.4,180
,Mount Hancock - Middle Peak,4280,80,NH,White Mountains,0.3,564
,Carter Dome - South Peak,4274,54,NH,White Mountains,0.3,133
32,Bondcliffs,4265,185,NH,White Mountains,0.7,1678
33,Mount Willey,4255,255,NH,White Mountains,1,1777
,Greenleaf Knob,4245,45,NH,White Mountains,0.1,371
34,Sugarloaf Mountain,4240,3168,ME,Longfellow Mountains,64.8,678
34,Zealand Mountain,4240,200,NH,White Mountains,0.6,1630
36,Killington Peak,4235,3315,VT,Green Mountains,56.3,1217
37,Crocker Mountain,4226,1206,ME,Longfellow Mountains,3.6,612
,Mount Osceola - Middle Peak,4200,80,NH,White Mountains,0.3,135
,Mount Pierce - South Peak,4185,25,NH,White Mountains,0.2,425
,Mount Jim,4172,92,NH,White Mountains,0.5,196
38,Old Speck,4160,2700,ME,White Mountains,20.4,916
38,Mount Cabot,4160,2661,NH,White Mountains,12.9,1392
38,North Tripyramid,4160,1320,NH,White Mountains,5,1670
41,Mount Osceola - East Peak,4156,316,NH,White Mountains,0.7,2025
42,North Brother,4151,1256,ME,Longfellow Mountains,2.3,574
43,Bigelow Mountain,4145,2845,ME,Longfellow Mountains,8,791
44,Saddleback Mountain,4120,2446,ME,Longfellow Mountains,9.6,770
44,Middle Tripyramid,4120,240,NH,White Mountains,0.6,1625
,Mount Mansfield - Adams Apple,4120,60,VT,Green Mountains,0.2,431
,Mount Mansfield - Lower Lip,4120,40,VT,Green Mountains,0.2,411
